id,scn,liability_value,plan_cost,accrued_benefit_payment,projected_benefit_payment,AA_rated_bond_investment,public_equity_investment,total_asset_value,funding_ratio,funding_surplus,period
1.0,16.0,11900000.0,241000.0,74200.0,82500.0,10338671.805936694,5325982.445482536,15664654.251419231,1.3163575001192631,3764654.2514192313,16.0
1.0,17.0,12600000.0,240000.0,73900.0,82200.0,10914083.007298155,5136039.062257951,16050122.069556106,1.2738192118695322,3450122.069556106,17.0
1.0,18.0,12400000.0,240000.0,73600.0,81800.0,11506187.188668318,4931223.080857847,16437410.269526165,1.3255976023811424,4037410.269526165,18.0
1.0,19.0,12300000.0,240000.0,73300.0,81500.0,12115429.283066884,4711555.832303784,16826985.11537067,1.368047570355339,4526985.1153706685,19.0
1.0,20.0,10400000.0,237000.0,74600.0,82900.0,12737890.654144818,4475475.094699526,17213365.748844344,1.6551313220042638,6813365.748844344,20.0
1.0,21.0,9840000.0,240000.0,74300.0,82500.0,13335896.111401038,4211335.614126639,17547231.725527678,1.783255256659317,7707231.725527678,21.0
1.0,22.0,9420000.0,239000.0,73900.0,82100.0,13184660.86226137,3718750.499612177,16903411.361873545,1.7944173420247924,7483411.361873545,22.0
1.0,23.0,7440000.0,241000.0,73600.0,81700.0,13383767.177837301,3345941.794459321,16729708.972296622,2.2486167973516964,9289708.972296622,23.0
1.0,24.0,7280000.0,246000.0,73900.0,82100.0,14391330.508743748,3159072.550699843,17550403.059443593,2.4107696510224716,10270403.059443593,24.0
1.0,25.0,8260000.0,243000.0,73500.0,81700.0,14318074.673489407,2727252.3187598833,17045326.99224929,2.0635989094732796,8785326.992249291,25.0
1.0,26.0,8880000.0,242000.0,73100.0,81200.0,14482218.441224834,2357570.4439203185,16839788.885145154,1.8963726222010309,7959788.885145154,26.0
1.0,27.0,8430000.0,246000.0,72700.0,80800.0,14863463.894849004,2026835.9856612245,16890299.88051023,2.003594291875472,8460299.88051023,27.0
1.0,28.0,8620000.0,250000.0,73700.0,81900.0,15872709.128471645,1763634.347607957,17636343.4760796,2.0459795215869607,9016343.476079602,28.0
1.0,29.0,10600000.0,255000.0,73300.0,81400.0,16374752.01839545,1423891.4798604704,17798643.49825592,1.6791173111562188,7198643.49825592,29.0
1.0,30.0,11500000.0,256000.0,72800.0,80900.0,17435906.86040419,1112930.2251321787,18548837.08553637,1.612942355264032,7048837.085536368,30.0
1.0,31.0,13400000.0,255000.0,72400.0,80400.0,19322441.406753503,805101.7252813921,20127543.132034894,1.5020554576145444,6727543.132034894,31.0
1.0,32.0,13700000.0,258000.0,72600.0,80700.0,20246253.95631028,413188.85625122645,20659442.812561505,1.5079885264643433,6959442.812561505,32.0
1.0,33.0,11000000.0,261000.0,72100.0,80100.0,20545562.150589164,0.0,20545562.150589164,1.8677783773262877,9545562.150589164,33.0
1.0,34.0,9060000.0,258000.0,71600.0,79500.0,21664319.7609829,0.0,21664319.7609829,2.3912052716316667,12604319.7609829,34.0
1.0,35.0,9210000.0,261000.0,71100.0,79000.0,22783835.721926674,0.0,22783835.721926674,2.4738149535208116,13573835.721926674,35.0
1.0,36.0,10100000.0,258000.0,71100.0,79000.0,24856553.804630544,0.0,24856553.804630544,2.461044931151539,14756553.804630544,36.0
1.0,37.0,11100000.0,263000.0,70600.0,78400.0,23651269.78419617,0.0,23651269.78419617,2.1307450256032583,12551269.784196168,37.0
1.0,38.0,12200000.0,264000.0,70000.0,77800.0,21761119.890812803,0.0,21761119.890812803,1.7836983517059675,9561119.890812803,38.0
1.0,39.0,13200000.0,265000.0,69500.0,77200.0,21086392.706379198,0.0,21086392.706379198,1.5974539929075149,7886392.706379198,39.0
1.0,40.0,14500000.0,263000.0,69900.0,77700.0,20436247.862051096,0.0,20436247.862051096,1.4093964042793858,5936247.862051096,40.0
